"","exp_no","employee_no","date","amount"
"1","E00001","Emp0324",2021-01-01,840.248740336159
"2","E00002","Emp1140",2021-01-01,608.500597367762
"3","E00003","Emp1179",2021-01-01,468.050194673939
"4","E00004","Emp0168",2021-01-01,992.876543579157
"5","E00005","Emp0606",2021-01-01,104.434696250828
"6","E00006","Emp0602",2021-01-01,816.421775780851
"7","E00007","Emp1059",2021-01-01,279.003336756956
"8","E00008","Emp0666",2021-01-01,173.333896774799
"9","E00009","Emp0744",2021-01-01,621.996546538547
"10","E00010","Emp1491",2021-01-01,528.714396859286
"11","E00011","Emp1419",2021-01-01,258.428772069514
"12","E00012","Emp1420",2021-01-01,508.034244859824
"13","E00013","Emp1548",2021-01-01,688.123826357769
"14","E00014","Emp0348",2021-01-01,236.603025134653
"15","E00015","Emp1358",2021-01-01,70.3479603233282
"16","E00016","Emp0067",2021-01-01,227.249556254596
"17","E00017","Emp0153",2021-01-01,548.888735374436
"18","E00018","Emp1518",2021-01-01,387.1446439391
"19","E00019","Emp1429",2021-01-01,56.036261082394
"20","E00020","Emp0619",2021-01-01,786.599684702232
"21","E00021","Emp0357",2021-01-01,910.502025310416
"22","E00022","Emp1619",2021-01-01,947.56823990331
"23","E00023","Emp1279",2021-01-01,224.38232813077
"24","E00024","Emp0727",2021-01-01,11.5254720407538
"25","E00025","Emp0519",2021-01-01,489.685950132785
"26","E00026","Emp0651",2021-01-01,986.879494634923
"27","E00027","Emp1058",2021-01-01,341.220031653065
"28","E00028","Emp0493",2021-01-01,670.429491081508
"29","E00029","Emp0421",2021-01-01,10.3423367487267
"30","E00030","Emp0348",2021-01-01,886.558308980661
"31","E00031","Emp0794",2021-01-01,351.130973061314
"32","E00032","Emp1106",2021-01-01,760.485281846253
"33","E00033","Emp0089",2021-01-01,740.473739470821
"34","E00034","Emp1193",2021-01-01,593.3663389883
"35","E00035","Emp0968",2021-01-01,778.583022674313
"36","E00036","Emp0166",2021-01-01,556.159476452041
"37","E00037","Emp0208",2021-01-01,258.09915840649
"38","E00038","Emp1540",2021-01-01,501.898325252114
"39","E00039","Emp1432",2021-01-01,596.388654262526
"40","E00040","Emp0254",2021-01-01,539.726155565353
"41","E00041","Emp1610",2021-01-01,618.455026891315
"42","E00042","Emp0194",2021-01-01,667.494992878987
"43","E00043","Emp1087",2021-01-01,295.08744598669
"44","E00044","Emp0605",2021-01-01,249.518693235703
"45","E00045","Emp1664",2021-01-01,954.616006204626
"46","E00046","Emp0622",2021-01-01,307.054464605171
"47","E00047","Emp0343",2021-01-01,529.752094088588
"48","E00048","Emp0379",2021-01-01,166.495140542276
"49","E00049","Emp0053",2021-01-01,804.92314984533
"50","E00050","Emp0626",2021-01-01,477.288234330714
"51","E00051","Emp0189",2021-01-01,127.925487884786
"52","E00052","Emp0030",2021-01-01,193.62006017752
"53","E00053","Emp1526",2021-01-01,130.788291998208
"54","E00054","Emp0068",2021-01-01,862.274375783978
"55","E00055","Emp0003",2021-01-01,374.537922487594
"56","E00056","Emp0436",2021-01-01,370.052736998536
"57","E00057","Emp0119",2021-01-01,819.815462770872
"58","E00058","Emp1077",2021-01-01,892.4081404889
"59","E00059","Emp1415",2021-01-01,128.422867372399
"60","E00060","Emp1465",2021-01-01,486.341998370131
"61","E00061","Emp1559",2021-01-01,938.002819057321
"62","E00062","Emp1592",2021-01-01,26.3359849674162
"63","E00063","Emp0308",2021-01-01,435.81879380974
"64","E00064","Emp0428",2021-01-01,61.8118952838704
"65","E00065","Emp0736",2021-01-01,108.582256245194
"66","E00066","Emp0287",2021-01-01,473.942927918397
"67","E00067","Emp0679",2021-01-01,777.071667910554
"68","E00068","Emp1647",2021-01-01,927.61748673371
"69","E00069","Emp0693",2021-01-01,636.170455998043
"70","E00070","Emp1103",2021-01-01,608.142965204781
"71","E00071","Emp0890",2021-01-01,33.2868712558411
"72","E00072","Emp0779",2021-01-01,550.635368873598
"73","E00073","Emp0834",2021-01-01,357.609974443214
