"","ap_no","ap_date","sku","no_units_ordered","extended_cost","receiver_no","receiver_date"
"1","ap00001",2021-02-09,"IEWCNSP",100,4500,"rec00001",2021-02-08
"2","ap00002",2021-02-06,"FYFYACV",100,4100,"rec00002",2021-02-05
"3","ap00003",2021-02-13,"PUDBCRY",100,3400,"rec00003",2021-02-12
"4","ap00004",2021-03-08,"BIDMHPP",100,2500,"rec00004",2021-03-07
"5","ap00005",2021-02-02,"ROTLPKY",100,4400,"rec00005",2021-02-01
"6","ap00006",2021-02-17,"HPBXEHQ",100,3100,"rec00006",2021-02-16
"7","ap00007",2021-02-24,"FRGNNQE",100,2700,"rec00007",2021-02-23
"8","ap00008",2021-02-18,"QZYWKWM",100,3000,"rec00008",2021-02-17
"9","ap00009",2021-02-11,"JNICTAY",100,3100,"rec00009",2021-02-10
"10","ap00010",2021-03-15,"WZHRXLD",100,3400,"rec00010",2021-03-14
"11","ap00011",2021-02-19,"LSOVTAZ",100,3800,"rec00011",2021-02-18
"12","ap00012",2021-02-20,"VXEHQDI",100,2700,"rec00012",2021-02-19
"13","ap00013",2021-02-08,"OEMBOTA",100,2600,"rec00013",2021-02-07
"14","ap00014",2021-02-12,"DGRQBWZ",100,3800,"rec00014",2021-02-11
"15","ap00015",2021-02-24,"DMSMFUG",100,2800,"rec00015",2021-02-23
"16","ap00016",2021-02-18,"YKHCWFU",100,3300,"rec00016",2021-02-17
"17","ap00017",2021-05-02,"DJXBTMZ",100,2600,"rec00017",2021-05-01
"18","ap00018",2021-02-14,"BLLNUHU",100,3200,"rec00018",2021-02-13
"19","ap00019",2021-02-14,"HKSIHTF",100,3800,"rec00019",2021-02-13
"20","ap00020",2021-02-12,"EAJJSGD",100,2600,"rec00020",2021-02-11
"21","ap00021",2021-02-21,"JZYSCOB",100,2700,"rec00021",2021-02-20
"22","ap00022",2021-03-03,"XUNWJQA",100,4300,"rec00022",2021-03-02
"23","ap00023",2021-02-12,"AUNXHDX",100,2500,"rec00023",2021-02-11
"24","ap00024",2021-02-25,"QFZOBTR",100,2300,"rec00024",2021-02-24
"25","ap00025",2021-02-13,"QTRIZYW",100,2800,"rec00025",2021-02-12
"26","ap00026",2021-03-15,"SPZNAGA",100,2800,"rec00026",2021-03-14
"27","ap00027",2021-02-15,"ERFSOLQ",100,2900,"rec00027",2021-02-14
"28","ap00028",2021-02-17,"NRXKJCK",100,2900,"rec00028",2021-02-16
"29","ap00029",2021-03-04,"YYQNULM",100,4100,"rec00029",2021-03-03
"30","ap00030",2021-03-12,"OVWKQJD",100,2400,"rec00030",2021-03-11
"31","ap00031",2021-03-21,"QYUVOOW",100,2800,"rec00031",2021-03-20
"32","ap00032",2021-02-26,"CXPXQVN",100,2000,"rec00032",2021-02-25
"33","ap00033",2021-02-25,"HECJLGC",100,3400,"rec00033",2021-02-24
"34","ap00034",2021-02-16,"HVORRYT",100,3300,"rec00034",2021-02-15
"35","ap00035",2021-03-07,"IBVDHQY",100,3400,"rec00035",2021-03-06
"36","ap00036",2021-02-25,"ZGVDTEK",100,3300,"rec00036",2021-02-24
"37","ap00037",2021-03-06,"UHYIEFC",100,2300,"rec00037",2021-03-05
"38","ap00038",2021-02-24,"OGJGSMA",100,3800,"rec00038",2021-02-23
"39","ap00039",2021-03-04,"AQGBUFS",100,2500,"rec00039",2021-03-03
"40","ap00040",2021-02-19,"KIWWRLF",100,3100,"rec00040",2021-02-18
"41","ap00041",2021-02-23,"YAWXMBW",100,2400,"rec00041",2021-02-22
"42","ap00042",2021-03-08,"BSVFBDD",100,2500,"rec00042",2021-03-07
"43","ap00043",2021-02-26,"WXUHQKN",100,2300,"rec00043",2021-02-25
"44","ap00044",2021-03-04,"JIKQUWT",100,3400,"rec00044",2021-03-03
"45","ap00045",2021-03-20,"GBNHGAR",100,3100,"rec00045",2021-03-19
"46","ap00046",2021-04-09,"TFGSIIP",100,2900,"rec00046",2021-04-08
"47","ap00047",2021-02-27,"GSFWBUM",100,2800,"rec00047",2021-02-26
"48","ap00048",2021-02-26,"GGSPOKR",100,2500,"rec00048",2021-02-25
"49","ap00049",2021-02-26,"ZIOKYJU",100,2900,"rec00049",2021-02-25
"50","ap00050",2021-03-24,"ZMVYMSL",100,3000,"rec00050",2021-03-23
"51","ap00051",2021-03-05,"TBDSHMI",100,4100,"rec00051",2021-03-04
"52","ap00052",2021-04-06,"JNUQWRR",100,2800,"rec00052",2021-04-05
"53","ap00053",2021-02-24,"YXZSNIC",100,3400,"rec00053",2021-02-23
"54","ap00054",2021-03-30,"DSHGXTW",100,3200,"rec00054",2021-03-29
"55","ap00055",2021-03-04,"VWCHLHC",100,3200,"rec00055",2021-03-03
"56","ap00056",2021-03-06,"SKOIKDV",100,3400,"rec00056",2021-03-05
"57","ap00057",2021-02-21,"YCKJQUQ",100,2500,"rec00057",2021-02-20
"58","ap00058",2021-02-20,"NMZJCRZ",100,3100,"rec00058",2021-02-19
"59","ap00059",2021-03-03,"UVAFIBT",100,3900,"rec00059",2021-03-02
"60","ap00060",2021-03-11,"DVVTXXD",100,3600,"rec00060",2021-03-10
"61","ap00061",2021-03-07,"KQLRBPG",100,2600,"rec00061",2021-03-06
"62","ap00062",2021-02-25,"HNCLGJR",100,3300,"rec00062",2021-02-24
"63","ap00063",2021-03-11,"JCWXKIX",100,3600,"rec00063",2021-03-10
"64","ap00064",2021-03-02,"YEDIVIG",100,3500,"rec00064",2021-03-01
"65","ap00065",2021-03-22,"LZPJINE",100,3000,"rec00065",2021-03-21
"66","ap00066",2021-02-23,"QPLYRZV",100,1800,"rec00066",2021-02-22
"67","ap00067",2021-03-25,"HQLCKYQ",100,2800,"rec00067",2021-03-24
"68","ap00068",2021-02-25,"FYROZUB",100,2800,"rec00068",2021-02-24
"69","ap00069",2021-03-12,"IDGYCBC",100,2600,"rec00069",2021-03-11
"70","ap00070",2021-03-07,"UPLNPQK",100,2500,"rec00070",2021-03-06
"71","ap00071",2021-03-03,"BAYIRTP",100,3300,"rec00071",2021-03-02
"72","ap00072",2021-03-04,"AMLFWVI",100,2200,"rec00072",2021-03-03
"73","ap00073",2021-03-20,"EQUSJXR",100,2800,"rec00073",2021-03-19
"74","ap00074",2021-04-15,"ZSVMNTO",100,2800,"rec00074",2021-04-14
"75","ap00075",2021-02-27,"IUIJPPK",100,2800,"rec00075",2021-02-26
"76","ap00076",2021-03-11,"MGIWSUV",100,2700,"rec00076",2021-03-10
"77","ap00077",2021-03-01,"NWFLJEL",100,2800,"rec00077",2021-02-28
"78","ap00078",2021-02-28,"PDOROIS",100,3000,"rec00078",2021-02-27
"79","ap00079",2021-03-06,"BVBHYVP",100,3000,"rec00079",2021-03-05
"80","ap00080",2021-02-24,"GGZXOCK",100,2900,"rec00080",2021-02-23
"81","ap00081",2021-02-27,"MCKIGJK",100,4100,"rec00081",2021-02-26
"82","ap00082",2021-03-18,"KRLIBAG",100,2900,"rec00082",2021-03-17
"83","ap00083",2021-03-30,"ZJCESRZ",100,3100,"rec00083",2021-03-29
"84","ap00084",2021-03-01,"WNRXNTY",100,4600,"rec00084",2021-02-28
"85","ap00085",2021-04-26,"GFJLRUJ",100,1500,"rec00085",2021-04-25
"86","ap00086",2021-03-12,"PJIIAXD",100,3500,"rec00086",2021-03-11
"87","ap00087",2021-02-28,"KCQLSNA",100,2500,"rec00087",2021-02-27
"88","ap00088",2021-03-05,"GACKUWU",100,2900,"rec00088",2021-03-04
"89","ap00089",2021-02-27,"CJDWKVI",100,3800,"rec00089",2021-02-26
"90","ap00090",2021-03-13,"SFOBAQW",100,3000,"rec00090",2021-03-12
"91","ap00091",2021-03-11,"VEHGARM",100,3200,"rec00091",2021-03-10
"92","ap00092",2021-03-09,"DWOLSSW",100,3400,"rec00092",2021-03-08
"93","ap00093",2021-04-10,"ZTZSZUC",100,3200,"rec00093",2021-04-09
"94","ap00094",2021-03-07,"GXPRDLH",100,2500,"rec00094",2021-03-06
"95","ap00095",2021-03-13,"QFCFHCP",100,3300,"rec00095",2021-03-12
"96","ap00096",2021-03-06,"RIWCMEQ",100,2400,"rec00096",2021-03-05
"97","ap00097",2021-04-21,"KEGAYLX",100,2700,"rec00097",2021-04-20
"98","ap00098",2021-03-03,"SARYBPA",100,2600,"rec00098",2021-03-02
"99","ap00099",2021-03-05,"CHKBIFL",100,2300,"rec00099",2021-03-04
"100","ap00100",2021-03-10,"DKHDSFJ",100,3000,"rec00100",2021-03-09
"101","ap00101",2021-03-05,"PCIQYVA",100,3400,"rec00101",2021-03-04
"102","ap00102",2021-03-12,"FCGLFWA",100,1900,"rec00102",2021-03-11
"103","ap00103",2021-03-17,"ETMXEKN",100,3000,"rec00103",2021-03-16
"104","ap00104",2021-03-08,"HQUVZEJ",100,3500,"rec00104",2021-03-07
"105","ap00105",2021-03-02,"VKXJOXA",100,2800,"rec00105",2021-03-01
"106","ap00106",2021-03-15,"UJWWEOV",100,3600,"rec00106",2021-03-14
"107","ap00107",2021-03-15,"NEGIGAL",100,2700,"rec00107",2021-03-14
"108","ap00108",2021-03-15,"PACBZDC",100,2700,"rec00108",2021-03-14
"109","ap00109",2021-03-14,"FFTGBWM",100,2300,"rec00109",2021-03-13
"110","ap00110",2021-03-23,"EAYSXBJ",100,3700,"rec00110",2021-03-22
"111","ap00111",2021-03-17,"CAUKAWF",100,2400,"rec00111",2021-03-16
"112","ap00112",2021-03-08,"BKSBMYF",100,3000,"rec00112",2021-03-07
"113","ap00113",2021-05-06,"KCLOMUE",100,3500,"rec00113",2021-05-05
"114","ap00114",2021-03-20,"DDFGJXI",100,2800,"rec00114",2021-03-19
"115","ap00115",2021-03-08,"UCAGHHN",100,3300,"rec00115",2021-03-07
"116","ap00116",2021-03-26,"QHLCGDQ",100,3200,"rec00116",2021-03-25
"117","ap00117",2021-04-10,"NTSXPWQ",100,3100,"rec00117",2021-04-09
"118","ap00118",2021-03-19,"QVTPKNI",100,1800,"rec00118",2021-03-18
