"","customer_no","invoice_no","invoice_date","sku","sales_count","sales_return","unit_cost","sales_unit_price","collection_no","collection_date","collection_amount","shipper_no","shipper_date"
"1","c00804","i00032",2021-01-01,"IDGYCBC",1,0,22,88,"r00005",2021-01-01,88,"s00001",2021-01-01
"2","c00844","i00100",2021-01-01,"XUNWJQA",1,0,36,36,"r00019",2021-01-01,36,"s00002",2021-01-01
"3","c00521","i00116",2021-01-01,"CRJQHMX",1,0,28,56,"r00024",2021-01-01,56,"s00017",2021-01-02
"4","c00749","i00204",2021-01-01,"IRRMNIC",0,0,32,96,"r00043",2021-01-01,0,"s00018",2021-01-02
"5","c00425","i00220",2021-01-01,"LDXQGDP",1,1,37,37,"r00044",2021-01-01,37,"s00019",2021-01-02
"6","c00024","i00062",2021-01-01,"FDLOMXB",4,0,29,58,"r00010",2021-01-01,232,"s00060",2021-01-03
"7","c00498","i00105",2021-01-01,"DJYHXZE",2,0,32,128,"r00020",2021-01-01,256,"s00061",2021-01-03
"8","c00240","i00107",2021-01-01,"SPZNAGA",3,0,31,93,"r00021",2021-01-01,279,"s00062",2021-01-03
"9","c00510","i00132",2021-01-01,"BNUZFFS",2,0,32,96,"r00028",2021-01-01,192,"s00063",2021-01-03
"10","c00083","i00252",2021-01-01,"EXWXLCR",3,0,26,78,"r00050",2021-01-01,234,"s00064",2021-01-03
"11","c00574","i00014",2021-01-01,"BGDWUIJ",2,0,35,105,"r00002",2021-01-01,210,"s00117",2021-01-04
"12","c00742","i00058",2021-01-01,"TXSDEVE",2,0,27,54,"r00008",2021-01-01,108,"s00118",2021-01-04
"13","c00503","i00083",2021-01-01,"IHDBAWP",0,0,34,136,"r00015",2021-01-01,0,"s00119",2021-01-04
"14","c00364","i00123",2021-01-01,"YMVYEVF",3,0,26,52,"r00025",2021-01-01,156,"s00120",2021-01-04
"15","c00160","i00228",2021-01-01,"KNGEOMD",1,0,25,100,"r00046",2021-01-01,100,"s00121",2021-01-04
"16","c00771","i00265",2021-01-01,"YIFSAZZ",3,0,32,96,"r00054",2021-01-01,288,"s00122",2021-01-04
"17","c00825","i00070",2021-01-01,"UBYRHGL",1,0,33,66,"r00011",2021-01-01,66,"s00221",2021-01-05
"18","c00499","i00084",2021-01-01,"BGDWUIJ",3,0,32,96,"r00016",2021-01-01,288,"s00222",2021-01-05
"19","c00358","i00125",2021-01-01,"QVFLOML",2,0,30,120,"r00026",2021-01-01,240,"s00223",2021-01-05
"20","c00406","i00181",2021-01-01,"MDWFIHZ",1,0,30,60,"r00038",2021-01-01,60,"s00224",2021-01-05
"21","c00174","i00018",2021-01-01,"YAWXMBW",3,0,38,76,"r00004",2021-01-01,228,"s00325",2021-01-06
"22","c00260","i00080",2021-01-01,"RZNLMOK",2,0,20,20,"r00014",2021-01-01,40,"s00326",2021-01-06
"23","c00179","i00254",2021-01-01,"CDFGTPX",2,0,29,58,"r00051",2021-01-01,116,"s00327",2021-01-06
"24","c00393","i00015",2021-01-01,"UGTLINX",2,0,30,120,"r00003",2021-01-01,240,"s00442",2021-01-07
"25","c00971","i00126",2021-01-01,"ACDOAAZ",3,0,27,27,"r00027",2021-01-01,81,"s00443",2021-01-07
"26","c00953","i00085",2021-01-01,"JPLILCW",2,0,27,54,"r00017",2021-01-01,108,"s00580",2021-01-08
"27","c00819","i00182",2021-01-01,"RJEOTRU",1,0,41,123,"r00039",2021-01-01,123,"s00581",2021-01-08
"28","c00650","i00268",2021-01-01,"DWHFYBZ",1,0,26,78,"r00055",2021-01-01,78,"s00582",2021-01-08
"29","c00550","i00229",2021-01-01,"EXNJUVB",2,0,25,50,"r00047",2021-01-01,100,"s00730",2021-01-09
"30","c00972","i00255",2021-01-01,"LBBIIML",1,0,19,38,"r00052",2021-01-01,38,"s00731",2021-01-09
"31","c00032","i00073",2021-01-01,"KGXRRIA",2,0,29,87,"r00012",2021-01-01,174,"s00898",2021-01-10
"32","c00026","i00009",2021-01-01,"LUZQZTB",2,0,29,29,"r00001",2021-01-01,58,"s01048",2021-01-11
"33","c00162","i00094",2021-01-01,"EAYSXBJ",0,0,31,93,"r00018",2021-01-01,0,"s01049",2021-01-11
"34","c00859","i00108",2021-01-01,"JKVEMQK",1,0,38,114,"r00022",2021-01-01,114,"s01050",2021-01-11
"35","c00548","i00161",2021-01-01,"MCNOLPW",3,0,33,99,"r00032",2021-01-01,297,"s01051",2021-01-11
"36","c00690","i00193",2021-01-01,"XELPZEN",2,1,28,84,"r00041",2021-01-01,168,"s01052",2021-01-11
"37","c00271","i00061",2021-01-01,"DKHDSFJ",0,0,27,54,"r00009",2021-01-01,0,"s01235",2021-01-12
"38","c00843","i00180",2021-01-01,"OVWKQJD",2,0,30,30,"r00037",2021-01-01,60,"s01236",2021-01-12
"39","c00384","i00056",2021-01-01,"NVJMQZA",5,0,29,87,"r00007",2021-01-01,435,"s01415",2021-01-13
"40","c00427","i00203",2021-01-01,"KIWWRLF",3,1,25,50,"r00042",2021-01-01,150,"s01416",2021-01-13
"41","c00082","i00114",2021-01-01,"JOPBZOY",1,0,28,56,"r00023",2021-01-01,56,"s01592",2021-01-14
"42","c00618","i00176",2021-01-01,"VDXSZXM",4,0,25,50,"r00036",2021-01-01,200,"s01593",2021-01-14
"43","c00229","i00186",2021-01-01,"RZNLMOK",2,0,24,96,"r00040",2021-01-01,192,"s01801",2021-01-15
"44","c00848","i00275",2021-01-01,"EKSHFFF",2,0,19,38,"r00056",2021-01-01,76,"s01802",2021-01-15
"45","c00168","i00074",2021-01-01,"MGIWSUV",1,0,27,54,"r00013",2021-01-01,54,"s02010",2021-01-16
"46","c00835","i00162",2021-01-01,"ERFSOLQ",3,0,32,96,"r00033",2021-01-01,288,"s02236",2021-01-17
"47","c00428","i00173",2021-01-01,"FMEOJSB",0,0,41,123,"r00035",2021-01-01,0,"s02237",2021-01-17
"48","c00448","i00141",2021-01-01,"YGYPJSZ",1,0,24,72,"r00029",2021-01-01,72,"s02443",2021-01-18
"49","c00004","i00264",2021-01-01,"LZRYAOK",2,0,19,38,"r00053",2021-01-01,76,"s03380",2021-01-22
"50","c00627","i00147",2021-01-01,"SYTORYM",1,0,19,57,"r00030",2021-01-01,57,"s03610",2021-01-23
"51","c00598","i00232",2021-01-01,"FQHYIZP",2,0,30,60,"r00048",2021-01-01,120,"s04315",2021-01-26
"52","c00739","i00226",2021-01-01,"CXJAUYI",4,0,29,58,"r00045",2021-01-01,232,"s04556",2021-01-27
"53","c00571","i00244",2021-01-01,"NIBELCO",0,0,35,70,"r00049",2021-01-01,0,"s05607",2021-01-31
"54","c00732","i00170",2021-01-01,"RCEPOMR",3,0,38,76,"r00034",2021-01-01,228,"s06136",2021-02-02
"55","c00867","i00043",2021-01-01,"CYHGAIF",0,0,27,81,"r00006",2021-01-01,0,"s07182",2021-02-06
"56","c00866","i00150",2021-01-01,"FRGNNQE",3,0,25,50,"r00031",2021-01-01,150,"s14819",2021-03-06
"57","c00892","i00305",2021-01-02,"DJCGRXL",4,0,30,60,"r00060",2021-01-02,240,"s00048",2021-01-02
"58","c00700","i00409",2021-01-02,"LUZQZTB",0,0,31,93,"r00087",2021-01-02,0,"s00049",2021-01-02
"59","c00416","i00295",2021-01-02,"UHYIEFC",1,0,31,93,"r00058",2021-01-02,93,"s00080",2021-01-03
"60","c00993","i00327",2021-01-02,"ITEEXNA",2,0,20,100,"r00065",2021-01-02,200,"s00081",2021-01-03
"61","c00045","i00405",2021-01-02,"UNKOVEA",2,0,33,132,"r00084",2021-01-02,264,"s00082",2021-01-03
"62","c00741","i00472",2021-01-02,"XZDXZFK",1,0,33,99,"r00104",2021-01-02,99,"s00083",2021-01-03
"63","c00402","i00493",2021-01-02,"CNXUPSP",2,0,45,135,"r00110",2021-01-02,270,"s00084",2021-01-03
"64","c00108","i00553",2021-01-02,"YAWXMBW",5,1,36,72,"r00118",2021-01-02,360,"s00085",2021-01-03
"65","c00941","i00576",2021-01-02,"CKTKGNT",2,0,22,44,"r00120",2021-01-02,88,"s00086",2021-01-03
"66","c00983","i00581",2021-01-02,"JHHKRXR",4,0,33,66,"r00121",2021-01-02,264,"s00087",2021-01-03
"67","c00302","i00346",2021-01-02,"JLWSYMZ",2,0,25,50,"r00069",2021-01-02,100,"s00138",2021-01-04
"68","c00721","i00408",2021-01-02,"DZYOEZX",1,0,28,28,"r00086",2021-01-02,28,"s00139",2021-01-04
"69","c00728","i00420",2021-01-02,"XUNWJQA",3,0,31,124,"r00090",2021-01-02,372,"s00140",2021-01-04
"70","c00748","i00458",2021-01-02,"BLLNUHU",2,0,31,31,"r00098",2021-01-02,62,"s00141",2021-01-04
"71","c00414","i00475",2021-01-02,"ITYQURY",1,0,30,120,"r00105",2021-01-02,120,"s00142",2021-01-04
"72","c00169","i00583",2021-01-02,"AEQTGRP",1,0,34,136,"r00122",2021-01-02,136,"s00143",2021-01-04
"73","c00158","i00584",2021-01-02,"YCKJQUQ",0,0,21,21,"r00123",2021-01-02,0,"s00144",2021-01-04
"74","c00150","i00318",2021-01-02,"ACDOAAZ",2,0,26,78,"r00063",2021-01-02,156,"s00239",2021-01-05
"75","c00701","i00320",2021-01-02,"HDQSOJS",2,0,25,100,"r00064",2021-01-02,200,"s00240",2021-01-05
"76","c00634","i00437",2021-01-02,"AUTRSRF",0,0,28,28,"r00092",2021-01-02,0,"s00241",2021-01-05
"77","c00494","i00469",2021-01-02,"ZIOKYJU",3,0,40,80,"r00102",2021-01-02,240,"s00242",2021-01-05
"78","c00522","i00533",2021-01-02,"MMFXJSG",1,0,34,68,"r00113",2021-01-02,68,"s00243",2021-01-05
