"no","customer_no","invoice_no","amount","shipper_no","shipper_date"
"67","c00386","i00054",450,"s00079",2021-01-03
"88","c00494","i00249",93,"s00137",2021-01-04
"1139","c00400","i01128",0,"s04837",2021-01-28
"1790","c00205","i01811",58,"s01160",2021-01-11
"3105","c00490","i03013",124,"s02344",2021-01-17
"3342","c00782","i03466",48,"s01972",2021-01-15
"4196","c00972","i04166",180,"s02631",2021-01-18
"5153","c00273","i05100",0,"s05943",2021-02-01
"5163","c00531","i05139",186,"s06201",2021-02-02
"5196","c00399","i04951",0,"s07236",2021-02-06
"5498","c00231","i05422",240,"s10443",2021-02-18
"5645","c00154","i05786",93,"s04706",2021-01-27
"5748","c00668","i05513",0,"s08081",2021-02-09
"6689","c00124","i06813",78,"s04792",2021-01-27
"6828","c00445","i06846",136,"s07287",2021-02-06
"6964","c00609","i07076",328,"s05046",2021-01-28
"7564","c00998","i07507",0,"s06311",2021-02-02
"7949","c00448","i07946",558,"s09183",2021-02-13
"8617","c00052","i08560",78,"s07376",2021-02-06
"9163","c00233","i09292",360,"s08198",2021-02-09
"9253","c00428","i09209",465,"s10498",2021-02-18
"9283","c00678","i09051",88,"s12142",2021-02-24
"9318","c00439","i09190",84,"s15892",2021-03-10
"9413","c00376","i09392",580,"s07699",2021-02-07
"9747","c00763","i09857",84,"s08745",2021-02-11
"9820","c00814","i09794",52,"s10514",2021-02-18
"9972","c00563","i10075",0,"s08005",2021-02-08
"10655","c00705","i10526",96,"s12414",2021-02-25
"10820","c00470","i10838",93,"s09560",2021-02-14
"11388","c00949","i11396",342,"s10103",2021-02-16
"11576","c00579","i11584",42,"s09390",2021-02-13
"11761","c00888","i11606",112,"s13546",2021-03-01
"12055","c00838","i12047",57,"s13554",2021-03-01
"12109","c00655","i12173",492,"s09649",2021-02-14
"12110","c00947","i12205",180,"s09650",2021-02-14
"12545","c00621","i12594",0,"s12210",2021-02-24
"12687","c00658","i12820",24,"s10686",2021-02-18
"12726","c00685","i12889",208,"s11232",2021-02-20
"12817","c00315","i12740",156,"s13308",2021-02-28
"13044","c00561","i12922",52,"s12233",2021-02-24
"14501","c00006","i14285",0,"s16238",2021-03-11
"14747","c00103","i14760",42,"s15397",2021-03-08
"15374","c00408","i15474",96,"s12947",2021-02-26
"15469","c00144","i15365",116,"s14182",2021-03-03
"15567","c00591","i15358",0,"s16797",2021-03-13
"15591","c00704","i15531",52,"s19737",2021-03-24
"15856","c00374","i15860",144,"s19742",2021-03-24
"16029","c00984","i16054",180,"s15185",2021-03-07
"16269","c00682","i16292",120,"s14955",2021-03-06
"16330","c00785","i16368",208,"s16285",2021-03-11
"16409","c00072","i16358",144,"s19754",2021-03-24
"16429","c00683","i16186",0,"s25123",2021-04-13
"16797","c00621","i16863",198,"s14793",2021-03-05
"16921","c00198","i16758",330,"s17091",2021-03-14
"17077","c00447","i17169",44,"s15262",2021-03-07
"17188","c00470","i17246",270,"s17391",2021-03-15
"17576","c00999","i17556",148,"s15567",2021-03-08
"17695","c00493","i17760",84,"s17418",2021-03-15
"18197","c00102","i18222",105,"s16646",2021-03-12
"18772","c00882","i18745",64,"s18014",2021-03-17
"18787","c00411","i18686",256,"s18256",2021-03-18
"18880","c00859","i18791",0,"s21906",2021-04-01
"19103","c00013","i18931",108,"s19553",2021-03-23
"19283","c00545","i19373",540,"s17775",2021-03-16
"19367","c00419","i19363",162,"s19286",2021-03-22
"19487","c00258","i19577",34,"s17264",2021-03-14
"19624","c00679","i19531",104,"s19301",2021-03-22
"19778","c00416","i19927",210,"s17834",2021-03-16
"20101","c00590","i20197",0,"s19082",2021-03-21
"20115","c00023","i20112",0,"s19326",2021-03-22
"20843","c00415","i20826",156,"s19129",2021-03-21
"20980","c00243","i20983",152,"s22991",2021-04-05
"21234","c00092","i21142",252,"s21443",2021-03-30
"21247","c00671","i21258",300,"s21944",2021-04-01
"21333","c00788","i21475",360,"s18922",2021-03-20
"21428","c00859","i21443",420,"s19898",2021-03-24
"21503","c00391","i21417",544,"s21210",2021-03-29
