"","sku","date","stock_on_hand"
"1","AADNEHH",2021-01-07,93
"2","AADNEHH",2021-01-07,93
"3","AADNEHH",2021-01-10,90
"4","AADNEHH",2021-01-13,90
"5","AADNEHH",2021-01-19,87
"6","AADNEHH",2021-01-31,85
"7","AADNEHH",2021-02-04,79
"8","AADNEHH",2021-02-28,76
"9","AADNEHH",2021-03-05,74
"10","AADNEHH",2021-03-18,72
"11","AADNEHH",2021-03-24,70
"12","AADNEHH",2021-03-27,69
"13","AADNEHH",2021-04-02,68
"14","AADNEHH",2021-04-03,66
"15","AADNEHH",2021-04-08,65
"16","AADNEHH",2021-04-14,59
"17","AADNEHH",2021-04-16,57
"18","AADNEHH",2021-04-19,55
"19","AADNEHH",2021-04-20,52
"20","AADNEHH",2021-04-22,52
"21","AADNEHH",2021-04-23,51
"22","AADNEHH",2021-04-27,48
"23","AADNEHH",2021-04-29,147
"24","AADNEHH",2021-05-11,146
"25","AADNEHH",2021-05-18,144
"26","AADNEHH",2021-05-21,143
"27","AADNEHH",2021-05-23,141
"28","AADNEHH",2021-05-30,140
"29","AADNEHH",2021-06-05,139
"30","AADNEHH",2021-06-05,138
"31","AADNEHH",2021-06-07,137
"32","AADNEHH",2021-06-08,137
"33","AADNEHH",2021-06-09,136
"34","AADNEHH",2021-06-16,131
"35","AADNEHH",2021-06-17,129
"36","AADNEHH",2021-06-18,126
"37","AADNEHH",2021-06-25,126
"38","AADNEHH",2021-06-26,125
"39","AADNEHH",2021-07-03,124
"40","AADNEHH",2021-07-04,121
"41","AADNEHH",2021-07-05,120
"42","AADNEHH",2021-07-05,120
"43","AADNEHH",2021-07-10,117
"44","AADNEHH",2021-07-16,116
"45","AADNEHH",2021-07-21,115
"46","AADNEHH",2021-07-28,111
"47","AADNEHH",2021-08-02,111
"48","AADNEHH",2021-08-06,110
"49","AADNEHH",2021-08-07,109
"50","AADNEHH",2021-08-15,107
"51","AADNEHH",2021-08-17,107
"52","AADNEHH",2021-08-20,103
"53","AADNEHH",2021-08-20,99
"54","AADNEHH",2021-08-22,96
"55","AADNEHH",2021-08-30,91
"56","AADNEHH",2021-09-03,91
"57","AADNEHH",2021-09-12,88
"58","AADNEHH",2021-09-22,88
"59","AADNEHH",2021-09-23,87
"60","AADNEHH",2021-09-24,83
"61","AADNEHH",2021-09-30,82
"62","AADNEHH",2021-09-30,78
"63","AADNEHH",2021-10-01,75
"64","AADNEHH",2021-10-09,74
"65","AADNEHH",2021-10-12,72
"66","AADNEHH",2021-10-18,70
"67","AADNEHH",2021-10-26,68
"68","AADNEHH",2021-10-29,66
"69","AADNEHH",2021-10-30,64
"70","AADNEHH",2021-10-31,63
"71","AADNEHH",2021-11-04,61
"72","AADNEHH",2021-11-05,58
"73","AADNEHH",2021-11-06,57
"74","AADNEHH",2021-11-06,56
"75","AADNEHH",2021-11-09,53
"76","AADNEHH",2021-11-16,51
"77","AADNEHH",2021-11-16,50
"78","AADNEHH",2021-11-18,48
"79","AADNEHH",2021-11-19,146
"80","AADNEHH",2021-11-23,143
"81","AADNEHH",2021-11-26,144
"82","AADNEHH",2021-12-02,144
"83","AADNEHH",2021-12-10,142
"84","AADNEHH",2021-12-18,140
"85","AADNEHH",2021-12-19,140
"86","AADNEHH",2021-12-22,139
"87","AADNEHH",2021-12-23,135
"88","AADNEHH",2021-12-24,134
"89","AAFPBGX",2021-01-10,94
"90","AAFPBGX",2021-01-11,92
"91","AAFPBGX",2021-01-12,92
"92","AAFPBGX",2021-01-13,90
"93","AAFPBGX",2021-01-15,90
"94","AAFPBGX",2021-01-17,90
"95","AAFPBGX",2021-01-18,89
"96","AAFPBGX",2021-01-24,86
"97","AAFPBGX",2021-01-25,83
"98","AAFPBGX",2021-01-26,80
"99","AAFPBGX",2021-01-26,79
"100","AAFPBGX",2021-02-03,70
"101","AAFPBGX",2021-02-07,68
"102","AAFPBGX",2021-02-09,64
"103","AAFPBGX",2021-02-12,61
"104","AAFPBGX",2021-02-18,59
"105","AAFPBGX",2021-02-21,58
"106","AAFPBGX",2021-02-22,56
"107","AAFPBGX",2021-03-06,55
"108","AAFPBGX",2021-03-08,54
"109","AAFPBGX",2021-03-12,50
"110","AAFPBGX",2021-03-13,49
"111","AAFPBGX",2021-03-13,148
"112","AAFPBGX",2021-03-18,148
"113","AAFPBGX",2021-03-20,148
"114","AAFPBGX",2021-03-23,146
"115","AAFPBGX",2021-03-27,143
"116","AAFPBGX",2021-03-28,143
"117","AAFPBGX",2021-03-29,140
"118","AAFPBGX",2021-03-30,140
"119","AAFPBGX",2021-03-31,139
"120","AAFPBGX",2021-04-01,137
"121","AAFPBGX",2021-04-04,135
"122","AAFPBGX",2021-04-14,130
"123","AAFPBGX",2021-04-14,129
"124","AAFPBGX",2021-04-14,128
"125","AAFPBGX",2021-04-19,126
"126","AAFPBGX",2021-04-20,120
"127","AAFPBGX",2021-04-20,119
"128","AAFPBGX",2021-04-21,116
"129","AAFPBGX",2021-04-22,114
"130","AAFPBGX",2021-04-28,112
"131","AAFPBGX",2021-04-28,109
"132","AAFPBGX",2021-05-02,108
"133","AAFPBGX",2021-05-03,107
"134","AAFPBGX",2021-05-05,104
"135","AAFPBGX",2021-05-18,99
"136","AAFPBGX",2021-05-28,98
"137","AAFPBGX",2021-06-02,97
"138","AAFPBGX",2021-06-05,91
"139","AAFPBGX",2021-06-05,91
"140","AAFPBGX",2021-06-07,89
"141","AAFPBGX",2021-06-08,87
"142","AAFPBGX",2021-06-11,85
"143","AAFPBGX",2021-06-11,83
"144","AAFPBGX",2021-06-13,83
"145","AAFPBGX",2021-06-15,79
"146","AAFPBGX",2021-06-19,77
"147","AAFPBGX",2021-06-21,77
"148","AAFPBGX",2021-06-26,74
"149","AAFPBGX",2021-06-27,73
"150","AAFPBGX",2021-06-29,72
"151","AAFPBGX",2021-06-29,71
"152","AAFPBGX",2021-06-29,70
"153","AAFPBGX",2021-06-30,67
"154","AAFPBGX",2021-07-01,66
"155","AAFPBGX",2021-07-05,64
"156","AAFPBGX",2021-07-11,62
"157","AAFPBGX",2021-07-12,57
"158","AAFPBGX",2021-07-13,53
"159","AAFPBGX",2021-07-16,52
"160","AAFPBGX",2021-07-21,51
"161","AAFPBGX",2021-07-26,46
"162","AAFPBGX",2021-08-01,145
"163","AAFPBGX",2021-09-11,145
"164","AAFPBGX",2021-09-15,145
"165","AAFPBGX",2021-09-22,146
"166","AAFPBGX",2021-09-28,146
"167","AAFPBGX",2021-09-30,146
"168","AAFPBGX",2021-10-04,145
"169","AAFPBGX",2021-10-10,142
"170","AAFPBGX",2021-10-11,139
"171","AAFPBGX",2021-10-16,134
"172","AAFPBGX",2021-10-24,134
"173","AAFPBGX",2021-10-26,131
"174","AAFPBGX",2021-10-27,130
"175","AAFPBGX",2021-11-02,126
"176","AAFPBGX",2021-11-04,125
"177","AAFPBGX",2021-11-16,124
"178","AAFPBGX",2021-11-20,120
"179","AAFPBGX",2021-11-23,119
"180","AAFPBGX",2021-11-25,116
"181","AAFPBGX",2021-11-26,114
"182","AAFPBGX",2021-11-27,111
"183","AAFPBGX",2021-12-03,111
"184","AAFPBGX",2021-12-05,109
"185","AAFPBGX",2021-12-07,106
"186","AAFPBGX",2021-12-08,104
"187","AAFPBGX",2021-12-11,101
"188","AAFPBGX",2021-12-12,97
"189","AAFPBGX",2021-12-13,93
"190","AAFPBGX",2021-12-16,92
"191","AAFPBGX",2021-12-20,91
"192","AAFPBGX",2021-12-21,89
"193","AAFPBGX",2021-12-29,86
"194","AAFPBGX",2021-12-30,85
"195","ACDOAAZ",2021-01-01,117
"196","ACDOAAZ",2021-01-02,115
"197","ACDOAAZ",2021-01-09,112
"198","ACDOAAZ",2021-01-11,109
"199","ACDOAAZ",2021-01-20,106
"200","ACDOAAZ",2021-01-20,102
"201","ACDOAAZ",2021-01-21,101
"202","ACDOAAZ",2021-01-21,99
"203","ACDOAAZ",2021-01-26,98
"204","ACDOAAZ",2021-01-28,96
"205","ACDOAAZ",2021-01-28,94
"206","ACDOAAZ",2021-01-28,94
"207","ACDOAAZ",2021-02-01,92
"208","ACDOAAZ",2021-02-02,89
"209","ACDOAAZ",2021-02-07,88
"210","ACDOAAZ",2021-02-07,88
"211","ACDOAAZ",2021-02-11,87
"212","ACDOAAZ",2021-02-17,87
"213","ACDOAAZ",2021-02-20,85
"214","ACDOAAZ",2021-02-21,81
"215","ACDOAAZ",2021-02-23,81
"216","ACDOAAZ",2021-03-02,77
"217","ACDOAAZ",2021-03-03,73
"218","ACDOAAZ",2021-03-10,68
"219","ACDOAAZ",2021-03-11,68
"220","ACDOAAZ",2021-03-12,65
"221","ACDOAAZ",2021-03-13,61
"222","ACDOAAZ",2021-03-15,60
"223","ACDOAAZ",2021-03-20,58
"224","ACDOAAZ",2021-03-20,56
"225","ACDOAAZ",2021-03-20,55
"226","ACDOAAZ",2021-03-21,54
"227","ACDOAAZ",2021-03-23,51
"228","ACDOAAZ",2021-03-31,48
"229","ACDOAAZ",2021-04-17,147
"230","ACDOAAZ",2021-04-18,145
"231","ACDOAAZ",2021-04-21,144
"232","ACDOAAZ",2021-04-21,137
"233","ACDOAAZ",2021-04-24,136
"234","ACDOAAZ",2021-04-26,133
"235","ACDOAAZ",2021-05-02,132
"236","ACDOAAZ",2021-05-05,130
"237","ACDOAAZ",2021-05-14,127
"238","ACDOAAZ",2021-05-15,125
"239","ACDOAAZ",2021-05-16,122
"240","ACDOAAZ",2021-05-18,120
"241","ACDOAAZ",2021-05-19,117
"242","ACDOAAZ",2021-05-22,117
"243","ACDOAAZ",2021-05-23,114
"244","ACDOAAZ",2021-05-29,113
"245","ACDOAAZ",2021-06-04,109
"246","ACDOAAZ",2021-06-09,108
"247","ACDOAAZ",2021-06-09,107
"248","ACDOAAZ",2021-06-12,101
"249","ACDOAAZ",2021-06-13,100
"250","ACDOAAZ",2021-06-22,96
"251","ACDOAAZ",2021-06-26,95
"252","ACDOAAZ",2021-06-28,95
"253","ACDOAAZ",2021-06-29,94
"254","ACDOAAZ",2021-07-12,94
"255","ACDOAAZ",2021-07-18,91
"256","ACDOAAZ",2021-07-18,88
"257","ACDOAAZ",2021-07-21,84
"258","ACDOAAZ",2021-07-21,83
"259","ACDOAAZ",2021-07-29,80
"260","ACDOAAZ",2021-08-11,79
"261","ACDOAAZ",2021-08-13,78
"262","ACDOAAZ",2021-08-17,75
"263","ACDOAAZ",2021-08-24,75
"264","ACDOAAZ",2021-08-24,73
"265","ACDOAAZ",2021-08-28,68
"266","ACDOAAZ",2021-08-30,62
"267","ACDOAAZ",2021-08-30,61
"268","ACDOAAZ",2021-09-02,60
"269","ACDOAAZ",2021-09-02,60
"270","ACDOAAZ",2021-09-04,56
"271","ACDOAAZ",2021-09-06,55
"272","ACDOAAZ",2021-09-06,55
"273","ACDOAAZ",2021-09-12,51
"274","ACDOAAZ",2021-09-13,51
"275","ACDOAAZ",2021-09-16,50
"276","ACDOAAZ",2021-09-16,48
"277","ACDOAAZ",2021-09-17,144
"278","ACDOAAZ",2021-09-27,141
"279","ACDOAAZ",2021-09-30,139
"280","ACDOAAZ",2021-10-06,137
"281","ACDOAAZ",2021-10-10,135
"282","ACDOAAZ",2021-10-12,134
"283","ACDOAAZ",2021-10-15,130
"284","ACDOAAZ",2021-10-25,125
"285","ACDOAAZ",2021-10-27,120
"286","ACDOAAZ",2021-11-02,118
"287","ACDOAAZ",2021-11-06,118
"288","ACDOAAZ",2021-11-09,116
"289","ACDOAAZ",2021-11-12,115
"290","ACDOAAZ",2021-11-13,115
"291","ACDOAAZ",2021-11-18,114
"292","ACDOAAZ",2021-11-18,112
"293","ACDOAAZ",2021-11-20,110
"294","ACDOAAZ",2021-11-22,107
"295","ACDOAAZ",2021-11-29,105
"296","ACDOAAZ",2021-12-03,102
"297","ACDOAAZ",2021-12-05,99
"298","ACDOAAZ",2021-12-09,97
"299","ACDOAAZ",2021-12-11,96
"300","ACDOAAZ",2021-12-13,93
