"","receiver_no","receiver_date","sku","unit_cost","received","po_no","po_date"
"1","rec00001",2021-02-08,"IEWCNSP",45,100,"p00001",2021-01-27
"2","rec00002",2021-02-05,"FYFYACV",41,100,"p00002",2021-01-31
"3","rec00003",2021-02-12,"PUDBCRY",34,100,"p00003",2021-01-31
"4","rec00004",2021-03-07,"BIDMHPP",25,100,"p00004",2021-02-01
"5","rec00005",2021-02-01,"ROTLPKY",44,100,"p00005",2021-02-01
"6","rec00006",2021-02-16,"HPBXEHQ",31,100,"p00006",2021-02-03
"7","rec00007",2021-02-23,"FRGNNQE",27,100,"p00007",2021-02-03
"8","rec00008",2021-02-17,"QZYWKWM",30,100,"p00008",2021-02-04
"9","rec00009",2021-02-10,"JNICTAY",31,100,"p00009",2021-02-04
"10","rec00010",2021-03-14,"WZHRXLD",34,100,"p00010",2021-02-05
"11","rec00011",2021-02-18,"LSOVTAZ",38,100,"p00011",2021-02-05
"12","rec00012",2021-02-19,"VXEHQDI",27,100,"p00012",2021-02-05
"13","rec00013",2021-02-07,"OEMBOTA",26,100,"p00013",2021-02-06
"14","rec00014",2021-02-11,"DGRQBWZ",38,100,"p00014",2021-02-06
"15","rec00015",2021-02-23,"DMSMFUG",28,100,"p00015",2021-02-07
"16","rec00016",2021-02-17,"YKHCWFU",33,100,"p00016",2021-02-08
"17","rec00017",2021-05-01,"DJXBTMZ",26,100,"p00017",2021-02-09
"18","rec00018",2021-02-13,"BLLNUHU",32,100,"p00018",2021-02-09
"19","rec00019",2021-02-13,"HKSIHTF",38,100,"p00019",2021-02-10
"20","rec00020",2021-02-11,"EAJJSGD",26,100,"p00020",2021-02-10
"21","rec00021",2021-02-20,"JZYSCOB",27,100,"p00021",2021-02-10
"22","rec00022",2021-03-02,"XUNWJQA",43,100,"p00022",2021-02-10
"23","rec00023",2021-02-11,"AUNXHDX",25,100,"p00023",2021-02-10
"24","rec00024",2021-02-24,"QFZOBTR",23,100,"p00024",2021-02-11
"25","rec00025",2021-02-12,"QTRIZYW",28,100,"p00025",2021-02-11
"26","rec00026",2021-03-14,"SPZNAGA",28,100,"p00026",2021-02-12
"27","rec00027",2021-02-14,"ERFSOLQ",29,100,"p00027",2021-02-13
"28","rec00028",2021-02-16,"NRXKJCK",29,100,"p00028",2021-02-13
"29","rec00029",2021-03-03,"YYQNULM",41,100,"p00029",2021-02-14
"30","rec00030",2021-03-11,"OVWKQJD",24,100,"p00030",2021-02-14
"31","rec00031",2021-03-20,"QYUVOOW",28,100,"p00031",2021-02-14
"32","rec00032",2021-02-25,"CXPXQVN",20,100,"p00032",2021-02-14
"33","rec00033",2021-02-24,"HECJLGC",34,100,"p00033",2021-02-14
"34","rec00034",2021-02-15,"HVORRYT",33,100,"p00034",2021-02-14
"35","rec00035",2021-03-06,"IBVDHQY",34,100,"p00035",2021-02-14
"36","rec00036",2021-02-24,"ZGVDTEK",33,100,"p00036",2021-02-14
"37","rec00037",2021-03-05,"UHYIEFC",23,100,"p00037",2021-02-15
"38","rec00038",2021-02-23,"OGJGSMA",38,100,"p00038",2021-02-16
"39","rec00039",2021-03-03,"AQGBUFS",25,100,"p00039",2021-02-16
"40","rec00040",2021-02-18,"KIWWRLF",31,100,"p00040",2021-02-16
"41","rec00041",2021-02-22,"YAWXMBW",24,100,"p00041",2021-02-16
"42","rec00042",2021-03-07,"BSVFBDD",25,100,"p00042",2021-02-17
"43","rec00043",2021-02-25,"WXUHQKN",23,100,"p00043",2021-02-17
"44","rec00044",2021-03-03,"JIKQUWT",34,100,"p00044",2021-02-17
"45","rec00045",2021-03-19,"GBNHGAR",31,100,"p00045",2021-02-17
"46","rec00046",2021-04-08,"TFGSIIP",29,100,"p00046",2021-02-18
"47","rec00047",2021-02-26,"GSFWBUM",28,100,"p00047",2021-02-18
"48","rec00048",2021-02-25,"GGSPOKR",25,100,"p00048",2021-02-18
"49","rec00049",2021-02-25,"ZIOKYJU",29,100,"p00049",2021-02-18
"50","rec00050",2021-03-23,"ZMVYMSL",30,100,"p00050",2021-02-18
"51","rec00051",2021-03-04,"TBDSHMI",41,100,"p00051",2021-02-18
"52","rec00052",2021-04-05,"JNUQWRR",28,100,"p00052",2021-02-19
"53","rec00053",2021-02-23,"YXZSNIC",34,100,"p00053",2021-02-19
"54","rec00054",2021-03-29,"DSHGXTW",32,100,"p00054",2021-02-19
"55","rec00055",2021-03-03,"VWCHLHC",32,100,"p00055",2021-02-19
"56","rec00056",2021-03-05,"SKOIKDV",34,100,"p00056",2021-02-19
"57","rec00057",2021-02-20,"YCKJQUQ",25,100,"p00057",2021-02-19
"58","rec00058",2021-02-19,"NMZJCRZ",31,100,"p00058",2021-02-19
"59","rec00059",2021-03-02,"UVAFIBT",39,100,"p00059",2021-02-19
"60","rec00060",2021-03-10,"DVVTXXD",36,100,"p00060",2021-02-20
"61","rec00061",2021-03-06,"KQLRBPG",26,100,"p00061",2021-02-20
"62","rec00062",2021-02-24,"HNCLGJR",33,100,"p00062",2021-02-20
"63","rec00063",2021-03-10,"JCWXKIX",36,100,"p00063",2021-02-20
"64","rec00064",2021-03-01,"YEDIVIG",35,100,"p00064",2021-02-21
"65","rec00065",2021-03-21,"LZPJINE",30,100,"p00065",2021-02-21
"66","rec00066",2021-02-22,"QPLYRZV",18,100,"p00066",2021-02-21
"67","rec00067",2021-03-24,"HQLCKYQ",28,100,"p00067",2021-02-21
"68","rec00068",2021-02-24,"FYROZUB",28,100,"p00068",2021-02-21
"69","rec00069",2021-03-11,"IDGYCBC",26,100,"p00069",2021-02-22
"70","rec00070",2021-03-06,"UPLNPQK",25,100,"p00070",2021-02-22
"71","rec00071",2021-03-02,"BAYIRTP",33,100,"p00071",2021-02-22
"72","rec00072",2021-03-03,"AMLFWVI",22,100,"p00072",2021-02-22
"73","rec00073",2021-03-19,"EQUSJXR",28,100,"p00073",2021-02-22
"74","rec00074",2021-04-14,"ZSVMNTO",28,100,"p00074",2021-02-22
"75","rec00075",2021-02-26,"IUIJPPK",28,100,"p00075",2021-02-22
"76","rec00076",2021-03-10,"MGIWSUV",27,100,"p00076",2021-02-23
"77","rec00077",2021-02-28,"NWFLJEL",28,100,"p00077",2021-02-23
"78","rec00078",2021-02-27,"PDOROIS",30,100,"p00078",2021-02-23
"79","rec00079",2021-03-05,"BVBHYVP",30,100,"p00079",2021-02-23
"80","rec00080",2021-02-23,"GGZXOCK",29,100,"p00080",2021-02-23
"81","rec00081",2021-02-26,"MCKIGJK",41,100,"p00081",2021-02-24
"82","rec00082",2021-03-17,"KRLIBAG",29,100,"p00082",2021-02-24
"83","rec00083",2021-03-29,"ZJCESRZ",31,100,"p00083",2021-02-24
"84","rec00084",2021-02-28,"WNRXNTY",46,100,"p00084",2021-02-24
"85","rec00085",2021-04-25,"GFJLRUJ",15,100,"p00085",2021-02-25
"86","rec00086",2021-03-11,"PJIIAXD",35,100,"p00086",2021-02-25
"87","rec00087",2021-02-27,"KCQLSNA",25,100,"p00087",2021-02-25
"88","rec00088",2021-03-04,"GACKUWU",29,100,"p00088",2021-02-25
"89","rec00089",2021-02-26,"CJDWKVI",38,100,"p00089",2021-02-26
"90","rec00090",2021-03-12,"SFOBAQW",30,100,"p00090",2021-02-26
"91","rec00091",2021-03-10,"VEHGARM",32,100,"p00091",2021-02-26
"92","rec00092",2021-03-08,"DWOLSSW",34,100,"p00092",2021-02-26
"93","rec00093",2021-04-09,"ZTZSZUC",32,100,"p00093",2021-02-26
