"","customer_no","invoice_no","amount","shipper_no","shipper_date","confirm_exception","confirm_response","confirm_pct"
"67","c00386","i00054",450,"s00079",2021-01-03,0,"Confirmed, Balance OK",1
"88","c00494","i00249",93,"s00137",2021-01-04,0,"Confirmed, Balance OK",1
"1139","c00400","i01128",0,"s04837",2021-01-28,0,"Confirmed, Balance OK",1
"1790","c00205","i01811",58,"s01160",2021-01-11,0,"Confirmed, Balance OK",1
"3105","c00490","i03013",124,"s02344",2021-01-17,0,"Confirmed, Balance OK",1
"3342","c00782","i03466",48,"s01972",2021-01-15,0,"Confirmed, Balance OK",1
"4196","c00972","i04166",180,"s02631",2021-01-18,0,"Confirmed, Balance OK",1
"5153","c00273","i05100",0,"s05943",2021-02-01,0,"Confirmed, Balance OK",1
"5163","c00531","i05139",186,"s06201",2021-02-02,0,"Confirmed, Balance OK",1
"5196","c00399","i04951",0,"s07236",2021-02-06,0,"Confirmed, Balance OK",1
"5498","c00231","i05422",240,"s10443",2021-02-18,0,"Confirmed, Balance OK",1
"5645","c00154","i05786",93,"s04706",2021-01-27,0,"Confirmed, Balance OK",1
"5748","c00668","i05513",0,"s08081",2021-02-09,0,"Confirmed, Balance OK",1
"6689","c00124","i06813",78,"s04792",2021-01-27,0,"Confirmed, Balance OK",1
"6828","c00445","i06846",136,"s07287",2021-02-06,0,"Confirmed, Balance OK",1
"6964","c00609","i07076",328,"s05046",2021-01-28,0,"Confirmed, Balance OK",1
"7564","c00998","i07507",0,"s06311",2021-02-02,0,"Confirmed, Balance OK",1
"7949","c00448","i07946",558,"s09183",2021-02-13,0,"Confirmed, Balance OK",1
"8617","c00052","i08560",78,"s07376",2021-02-06,0,"Confirmed, Balance OK",1
"9163","c00233","i09292",360,"s08198",2021-02-09,0,"Confirmed, Balance OK",1
"9253","c00428","i09209",465,"s10498",2021-02-18,0,"Confirmed, Balance OK",1
"9283","c00678","i09051",88,"s12142",2021-02-24,1,"No Response",0.523737544748001
"9318","c00439","i09190",84,"s15892",2021-03-10,0,"Confirmed, Balance OK",1
"9413","c00376","i09392",580,"s07699",2021-02-07,0,"Confirmed, Balance OK",1
"9747","c00763","i09857",84,"s08745",2021-02-11,0,"Confirmed, Balance OK",1
"9820","c00814","i09794",52,"s10514",2021-02-18,0,"Confirmed, Balance OK",1
"9972","c00563","i10075",0,"s08005",2021-02-08,0,"Confirmed, Balance OK",1
"10655","c00705","i10526",96,"s12414",2021-02-25,1,"Customer will not pay shipping",0.811823298786767
"10820","c00470","i10838",93,"s09560",2021-02-14,0,"Confirmed, Balance OK",1
"11388","c00949","i11396",342,"s10103",2021-02-16,0,"Confirmed, Balance OK",1
"11576","c00579","i11584",42,"s09390",2021-02-13,0,"Confirmed, Balance OK",1
"11761","c00888","i11606",112,"s13546",2021-03-01,0,"Confirmed, Balance OK",1
"12055","c00838","i12047",57,"s13554",2021-03-01,0,"Confirmed, Balance OK",1
